Price,Close,High,Low,Open,Volume
Ticker,9983.T,9983.T,9983.T,9983.T,9983.T
Datetime,,,,,
2026-02-13 01:08:00+00:00,68230.0,68310.0,68230.0,68290.0,2500
2026-02-13 01:09:00+00:00,68210.0,68220.0,68150.0,68220.0,2600
2026-02-13 01:10:00+00:00,68240.0,68260.0,68200.0,68260.0,1600
2026-02-13 01:11:00+00:00,68250.0,68270.0,68240.0,68260.0,1300
2026-02-13 01:12:00+00:00,68290.0,68290.0,68250.0,68250.0,1700
2026-02-13 01:13:00+00:00,68260.0,68280.0,68240.0,68280.0,1100
2026-02-13 01:14:00+00:00,68170.0,68260.0,68170.0,68260.0,2000
2026-02-13 01:15:00+00:00,68270.0,68270.0,68190.0,68190.0,1900
2026-02-13 01:16:00+00:00,68240.0,68250.0,68230.0,68250.0,600
2026-02-13 01:17:00+00:00,68310.0,68350.0,68240.0,68240.0,3400
2026-02-13 01:18:00+00:00,68290.0,68310.0,68270.0,68310.0,4700
2026-02-13 01:19:00+00:00,68310.0,68310.0,68270.0,68280.0,1300
2026-02-13 01:20:00+00:00,68240.0,68320.0,68220.0,68310.0,3100
2026-02-13 01:21:00+00:00,68230.0,68260.0,68230.0,68250.0,900
2026-02-13 01:22:00+00:00,68270.0,68270.0,68190.0,68210.0,3000
2026-02-13 01:23:00+00:00,68290.0,68350.0,68280.0,68280.0,2500
2026-02-13 01:24:00+00:00,68300.0,68320.0,68280.0,68280.0,900
2026-02-13 01:25:00+00:00,68310.0,68340.0,68300.0,68300.0,1100
2026-02-13 01:26:00+00:00,68330.0,68340.0,68270.0,68290.0,1600
2026-02-13 01:27:00+00:00,68300.0,68330.0,68300.0,68310.0,700
2026-02-13 01:28:00+00:00,68320.0,68340.0,68280.0,68280.0,1000
2026-02-13 01:29:00+00:00,68360.0,68360.0,68320.0,68320.0,700
2026-02-13 01:30:00+00:00,68350.0,68370.0,68330.0,68350.0,1800
2026-02-13 01:31:00+00:00,68300.0,68360.0,68300.0,68350.0,1800
2026-02-13 01:32:00+00:00,68290.0,68300.0,68260.0,68300.0,1800
2026-02-13 01:33:00+00:00,68290.0,68290.0,68290.0,68290.0,200
2026-02-13 01:34:00+00:00,68290.0,68310.0,68290.0,68300.0,1100
2026-02-13 01:35:00+00:00,68300.0,68300.0,68300.0,68300.0,300
2026-02-13 01:36:00+00:00,68300.0,68300.0,68300.0,68300.0,300
2026-02-13 01:37:00+00:00,68260.0,68290.0,68260.0,68290.0,1000
2026-02-13 01:38:00+00:00,68400.0,68400.0,68270.0,68270.0,4800
2026-02-13 01:39:00+00:00,68390.0,68430.0,68370.0,68410.0,2600
2026-02-13 01:40:00+00:00,68320.0,68390.0,68320.0,68390.0,2000
2026-02-13 01:41:00+00:00,68310.0,68320.0,68300.0,68320.0,1000
2026-02-13 01:42:00+00:00,68380.0,68390.0,68330.0,68340.0,2000
2026-02-13 01:43:00+00:00,68390.0,68390.0,68380.0,68380.0,400
2026-02-13 01:44:00+00:00,68390.0,68410.0,68350.0,68400.0,1500
2026-02-13 01:45:00+00:00,68390.0,68430.0,68380.0,68420.0,1600
2026-02-13 01:46:00+00:00,68370.0,68390.0,68360.0,68390.0,700
2026-02-13 01:47:00+00:00,68360.0,68400.0,68360.0,68380.0,1700
2026-02-13 01:48:00+00:00,68350.0,68390.0,68340.0,68370.0,1200
2026-02-13 01:49:00+00:00,68330.0,68360.0,68330.0,68360.0,500
2026-02-13 01:50:00+00:00,68360.0,68380.0,68350.0,68350.0,800
2026-02-13 01:51:00+00:00,68420.0,68440.0,68390.0,68390.0,700
2026-02-13 01:52:00+00:00,68340.0,68420.0,68340.0,68420.0,2700
2026-02-13 01:53:00+00:00,68330.0,68370.0,68330.0,68370.0,800
2026-02-13 01:54:00+00:00,68340.0,68350.0,68330.0,68340.0,1200
2026-02-13 01:55:00+00:00,68380.0,68380.0,68320.0,68330.0,700
2026-02-13 01:56:00+00:00,68350.0,68360.0,68320.0,68320.0,500
2026-02-13 01:57:00+00:00,68340.0,68350.0,68300.0,68330.0,1500
2026-02-13 01:58:00+00:00,68390.0,68410.0,68350.0,68350.0,2400
2026-02-13 01:59:00+00:00,68420.0,68450.0,68390.0,68390.0,2100
2026-02-13 02:00:00+00:00,68540.0,68540.0,68430.0,68430.0,4700
2026-02-13 02:01:00+00:00,68570.0,68600.0,68540.0,68550.0,1900
2026-02-13 02:02:00+00:00,68540.0,68580.0,68530.0,68580.0,1600
2026-02-13 02:03:00+00:00,68530.0,68550.0,68520.0,68520.0,600
2026-02-13 02:04:00+00:00,68530.0,68570.0,68520.0,68560.0,1500
2026-02-13 02:05:00+00:00,68550.0,68560.0,68510.0,68510.0,1300
2026-02-13 02:06:00+00:00,68580.0,68580.0,68530.0,68540.0,1300
2026-02-13 02:07:00+00:00,68580.0,68610.0,68550.0,68580.0,2200
2026-02-13 02:08:00+00:00,68580.0,68600.0,68570.0,68580.0,900
2026-02-13 02:09:00+00:00,68600.0,68600.0,68570.0,68590.0,400
2026-02-13 02:10:00+00:00,68650.0,68650.0,68590.0,68610.0,1900
2026-02-13 02:11:00+00:00,68650.0,68650.0,68620.0,68620.0,800
2026-02-13 02:12:00+00:00,68570.0,68650.0,68570.0,68640.0,3700
2026-02-13 02:13:00+00:00,68540.0,68560.0,68540.0,68560.0,400
2026-02-13 02:14:00+00:00,68570.0,68570.0,68570.0,68570.0,400
2026-02-13 02:15:00+00:00,68460.0,68550.0,68440.0,68550.0,4100
2026-02-13 02:16:00+00:00,68460.0,68460.0,68440.0,68440.0,500
2026-02-13 02:17:00+00:00,68500.0,68530.0,68460.0,68460.0,2500
2026-02-13 02:18:00+00:00,68470.0,68470.0,68470.0,68470.0,100
2026-02-13 02:19:00+00:00,68500.0,68500.0,68490.0,68500.0,400
2026-02-13 02:20:00+00:00,68410.0,68480.0,68410.0,68480.0,1400
2026-02-13 02:21:00+00:00,68420.0,68440.0,68410.0,68440.0,300
2026-02-13 02:22:00+00:00,68390.0,68430.0,68390.0,68430.0,900
2026-02-13 02:23:00+00:00,68410.0,68420.0,68390.0,68390.0,700
2026-02-13 02:24:00+00:00,68410.0,68430.0,68390.0,68410.0,1700
2026-02-13 02:25:00+00:00,68390.0,68410.0,68360.0,68410.0,2200
2026-02-13 02:26:00+00:00,68400.0,68400.0,68370.0,68380.0,1000
2026-02-13 02:27:00+00:00,68450.0,68450.0,68440.0,68440.0,400
2026-02-13 02:28:00+00:00,68480.0,68490.0,68430.0,68430.0,1700
2026-02-13 02:29:00+00:00,68460.0,68500.0,68460.0,68500.0,800
2026-02-13 02:30:00+00:00,68450.0,68460.0,68450.0,68460.0,900
2026-02-13 03:30:00+00:00,68410.0,68410.0,68300.0,68380.0,11300
2026-02-13 03:31:00+00:00,68380.0,68460.0,68380.0,68400.0,3100
2026-02-13 03:32:00+00:00,68340.0,68380.0,68320.0,68380.0,2600
2026-02-13 03:33:00+00:00,68310.0,68350.0,68290.0,68340.0,3500
2026-02-13 03:34:00+00:00,68350.0,68370.0,68300.0,68300.0,1700
2026-02-13 03:35:00+00:00,68310.0,68330.0,68300.0,68330.0,1500
2026-02-13 03:36:00+00:00,68290.0,68310.0,68290.0,68300.0,1800
2026-02-13 03:37:00+00:00,68260.0,68300.0,68240.0,68300.0,3100
2026-02-13 03:38:00+00:00,68290.0,68290.0,68260.0,68260.0,1100
2026-02-13 03:39:00+00:00,68280.0,68300.0,68280.0,68300.0,600
2026-02-13 03:40:00+00:00,68310.0,68390.0,68300.0,68300.0,4400
2026-02-13 03:41:00+00:00,68340.0,68340.0,68300.0,68320.0,1000
2026-02-13 03:42:00+00:00,68370.0,68420.0,68340.0,68340.0,2300
2026-02-13 03:43:00+00:00,68340.0,68380.0,68340.0,68360.0,800
2026-02-13 03:44:00+00:00,68330.0,68390.0,68330.0,68330.0,2100
2026-02-13 03:45:00+00:00,68340.0,68340.0,68310.0,68310.0,400
2026-02-13 03:46:00+00:00,68340.0,68340.0,68320.0,68320.0,200
2026-02-13 03:47:00+00:00,68350.0,68350.0,68330.0,68340.0,800
2026-02-13 03:48:00+00:00,68400.0,68400.0,68350.0,68350.0,2000
2026-02-13 03:49:00+00:00,68470.0,68490.0,68400.0,68400.0,3100
2026-02-13 03:50:00+00:00,68460.0,68460.0,68420.0,68460.0,1400
2026-02-13 03:51:00+00:00,68430.0,68470.0,68430.0,68470.0,200
2026-02-13 03:52:00+00:00,68380.0,68440.0,68360.0,68430.0,2100
2026-02-13 03:53:00+00:00,68430.0,68430.0,68400.0,68400.0,500
2026-02-13 03:54:00+00:00,68280.0,68400.0,68270.0,68400.0,3800
2026-02-13 03:55:00+00:00,68320.0,68360.0,68290.0,68290.0,6000
2026-02-13 03:56:00+00:00,68360.0,68360.0,68330.0,68340.0,1300
2026-02-13 03:57:00+00:00,68370.0,68370.0,68370.0,68370.0,900
2026-02-13 03:58:00+00:00,68370.0,68370.0,68350.0,68360.0,400
2026-02-13 03:59:00+00:00,68360.0,68380.0,68360.0,68370.0,900
2026-02-13 04:00:00+00:00,68370.0,68380.0,68340.0,68380.0,2700
